t_expected,t_start,t_arrived,margin
540,537,537,0
540,537,539,0
540,537,539,0
540,537,539,0
540,537,539,0
540,537,539,0
540,537,539,0
540,537,539,0
540,537,539,0
540,537,539,0
540,537,539,0
540,537,539,0
540,537,539,0
540,537,539,0
540,537,540,0
540,537,540,0
540,537,540,0
540,537,540,0
540,537,540,0
540,537,540,0
540,537,540,0
540,537,540,0
540,537,540,0
540,537,540,0
540,537,540,0
540,537,540,0
540,537,540,0
540,537,540,0
540,537,540,0
540,537,540,0
540,537,540,0
540,537,540,0
540,537,540,0
540,537,540,0
540,537,541,0
540,537,541,0
540,537,541,0
540,537,541,0
540,537,541,0
540,537,541,0
540,537,541,0
540,537,541,0
540,537,541,0
540,537,541,0
540,537,541,0
540,537,541,0
540,537,541,0
540,537,541,0
540,537,541,0
540,537,541,0
540,537,541,0
540,537,541,0
540,537,541,0
540,537,541,0
540,537,542,0
540,537,542,0
540,537,542,0
540,537,542,0
540,537,542,0
540,537,542,0
540,537,542,0
540,537,542,0
540,537,542,0
540,537,542,0
540,537,542,0
540,537,542,0
540,537,542,0
540,537,542,0
540,537,542,0
540,537,542,0
540,537,542,0
540,537,542,0
540,537,542,0
540,537,542,0
540,538,542,0
540,538,542,0
540,538,542,0
540,538,542,0
540,538,542,0
540,538,542,0
540,537,543,0
540,537,543,0
540,537,543,0
540,537,543,0
540,537,543,0
540,537,543,0
540,537,543,0
540,537,543,0
540,537,543,0
540,537,543,0
540,537,543,0
540,537,543,0
540,537,543,0
540,537,543,0
540,537,543,0
540,537,543,0
540,537,543,0
540,537,543,0
540,537,543,0
540,537,543,0
540,538,543,0
540,538,543,0
540,538,543,0
540,538,543,0
540,538,543,0
540,538,543,0
540,538,543,0
540,538,543,0
540,537,544,0
540,537,544,0
540,537,544,0
540,537,544,0
540,537,544,0
540,537,544,0
540,537,544,0
540,537,544,0
540,537,544,0
540,537,544,0
540,537,544,0
540,537,544,0
540,537,544,0
540,537,544,0
540,537,544,0
540,537,544,0
540,537,544,0
540,537,544,0
540,537,544,0
540,537,544,0
540,537,545,0
540,537,545,0
540,537,545,0
540,537,545,0
540,537,545,0
540,537,545,0
540,537,545,0
540,537,545,0
540,537,545,0
540,537,545,0
540,537,545,0
540,537,545,0
540,537,545,0
540,537,545,0
540,537,545,0
540,537,545,0
540,537,545,0
540,537,545,0
540,537,545,0
540,537,545,0
540,538,545,0
540,537,546,0
540,537,546,0
540,537,546,0
540,537,546,0
540,537,546,0
540,537,546,0
540,537,546,0
540,537,546,0
540,537,546,0
540,537,546,0
540,537,546,0
540,537,546,0
540,537,546,0
540,537,546,0
540,537,546,0
540,537,546,0
540,537,546,0
540,537,546,0
540,537,546,0
540,537,546,0
540,538,546,0
540,538,546,0
540,538,546,0
540,538,546,0
